Geneid	AEC.mock.I	AEC.mock.II	AEC.mock.III	AEC.WSN.I	AEC.WSN.II	AEC.WSN.III	AEC.WSN.PP1.I	AEC.WSN.PP1.II	AEC.WSN.PP1.III	AM.mock.I	AM.mock.II	AM.mock.III	AM.WSN.I	AM.WSN.II	AM.WSN.III	AM.WSN.PP1.I	AM.WSN.PP1.II	AM.WSN.PP1.III
ENSMUSG00000000976	214	194	418	130	115	115	299	140	130	227	486	217	73	97	161	69	62	101
ENSMUSG00000000982	2	1	0	5	1	1	7	2	0	2483	2249	1085	3277	3589	10314	4436	3604	4338
ENSMUSG00000000983	0	0	3	0	1	1	3	0	2	1	1	0	5	3	3	0	0	1
ENSMUSG00000001014	6	7	0	29	25	29	0	8	9	4	0	2	1	3	0	1	5	4
ENSMUSG00000001016	387	378	725	178	203	216	1080	586	558	144	198	220	112	140	119	128	85	107
ENSMUSG00000001017	529	514	922	311	236	276	1204	617	575	658	857	514	248	311	389	262	164	265
ENSMUSG00000001018	351	339	643	187	199	226	799	416	398	144	177	250	210	240	290	216	153	222
ENSMUSG00000001020	9	10	21	18	7	11	25	15	10	267	288	67	13	24	386	187	147	212
ENSMUSG00000001021	12	16	17	7	7	3	19	8	12	0	0	1	0	0	0	0	0	0
ENSMUSG00000001023	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	9683	9137	19565	10655	12152	12313	26801	12235	12379	2848	3051	682	323	368	3356	2066	1477	1893
ENSMUSG00000001027	0	0	1	1	5	3	0	0	0	0	1	0	1	6	0	0	1	0
ENSMUSG00000001029	0	2	6	4	1	4	11	2	3	15	27	32	17	32	25	2	14	13
ENSMUSG00000001034	120	133	283	71	58	85	142	71	67	106	263	274	126	185	55	20	15	25
ENSMUSG00000001036	1031	937	2019	357	406	398	563	316	283	24	37	29	38	46	46	26	10	19
ENSMUSG00000001039	82	89	149	47	54	45	242	85	98	19	16	7	5	9	21	13	8	19
ENSMUSG00000001052	697	685	1420	452	407	459	1352	688	662	850	1825	453	288	356	644	253	170	287
ENSMUSG00000001053	16	12	30	11	13	15	35	18	19	4	9	12	11	15	6	3	2	8
ENSMUSG00000001054	224	215	413	97	90	98	295	132	130	67	135	206	49	44	35	42	18	36
ENSMUSG00000001056	202	161	321	147	127	139	655	326	315	123	225	164	141	181	296	204	203	225
ENSMUSG00000001062	84	85	133	44	48	52	46	25	31	67	113	279	40	62	22	17	10	14
ENSMUSG00000001065	58	63	113	27	38	39	64	39	46	37	54	121	45	50	21	17	10	10
ENSMUSG00000001076	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	195	191	404	131	151	178	659	291	274	141	290	204	105	149	182	127	89	116
ENSMUSG00000001089	1735	1577	3171	496	549	556	1700	958	923	277	602	417	89	98	148	51	25	47
ENSMUSG00000001095	6	3	5	2	3	0	3	2	2	5	6	27	2	10	2	0	1	2
ENSMUSG00000001098	1763	1534	1745	1038	1032	1063	1447	1121	1072	882	737	479	158	163	291	306	207	289
ENSMUSG00000001100	490	446	955	195	188	227	695	320	300	171	277	276	95	104	150	102	74	131
ENSMUSG00000001103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000001105	274	315	568	285	290	341	831	459	454	116	161	199	69	100	194	87	91	118
ENSMUSG00000001119	310	321	570	326	266	302	1308	680	588	1910	5517	1002	219	235	2836	888	385	809
ENSMUSG00000001120	46	64	87	24	16	34	171	74	83	11	28	17	9	16	24	11	11	19
ENSMUSG00000001123	396	459	890	2464	2414	2423	1000	477	422	4141	7424	2386	1827	2174	4252	1502	1212	1939
ENSMUSG00000001127	564	538	977	348	360	411	888	412	415	284	487	516	251	251	380	221	197	275
ENSMUSG00000001128	6	9	6	26	22	21	16	6	2	2263	4252	6655	5597	6952	5129	2592	2477	2835
ENSMUSG00000001131	8462	7577	16233	14957	14977	16909	36558	15756	16964	437	792	585	2175	3123	1220	379	248	328
