cell_type,contrast,rank_direction,gene_label,log2FoldChange,padj,biotype,chromosome,gene_id,description
AM,WSN vs mock,Downregulated,Sesn1,-2.97212376844276,5.5236052684484104e-14,protein_coding,10,ENSMUSG00000038332,sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278]
AM,WSN vs mock,Downregulated,Gpr85,-4.84696378478387,1.1025910079373e-13,protein_coding,6,ENSMUSG00000048216,G protein-coupled receptor 85 [Source:MGI Symbol;Acc:MGI:1927851]
AM,WSN vs mock,Downregulated,Idh1,-2.06906277510601,7.91078580076923e-13,protein_coding,1,ENSMUSG00000025950,"isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]"
AM,WSN vs mock,Downregulated,Lair1,-2.14183558278798,1.02219404231585e-12,protein_coding,7,ENSMUSG00000055541,leukocyte-associated Ig-like receptor 1 [Source:MGI Symbol;Acc:MGI:105492]
AM,WSN vs mock,Downregulated,Kitl,-3.04687674983136,2.3263989773482297e-12,protein_coding,10,ENSMUSG00000019966,kit ligand [Source:MGI Symbol;Acc:MGI:96974]
AM,WSN vs mock,Downregulated,Cd300lb,-3.91060241601616,4.3281029209083695e-12,protein_coding,11,ENSMUSG00000063193,CD300 molecule like family member B [Source:MGI Symbol;Acc:MGI:2685099]
AM,WSN vs mock,Downregulated,Sephs2,-2.33804270269274,5.88429227303604e-12,protein_coding,7,ENSMUSG00000049091,selenophosphate synthetase 2 [Source:MGI Symbol;Acc:MGI:108388]
AM,WSN_PP1 vs WSN,Downregulated,Coq8a,-3.64411404446976,1.62419604431185e-35,protein_coding,1,ENSMUSG00000026489,coenzyme Q8A [Source:MGI Symbol;Acc:MGI:1914676]
AM,WSN_PP1 vs WSN,Downregulated,Lif,-3.11963852853741,1.1218133774117999e-34,protein_coding,11,ENSMUSG00000034394,leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]
AM,WSN_PP1 vs WSN,Downregulated,Thbs1,-2.73316095756758,9.35699724807203e-28,protein_coding,2,ENSMUSG00000040152,thrombospondin 1 [Source:MGI Symbol;Acc:MGI:98737]
AM,WSN_PP1 vs WSN,Downregulated,Saa3,-4.16892505926743,4.43333454526639e-27,protein_coding,7,ENSMUSG00000040026,serum amyloid A 3 [Source:MGI Symbol;Acc:MGI:98223]
AM,WSN_PP1 vs WSN,Downregulated,Ccl5,-2.68348781204053,1.50209890176836e-26,protein_coding,11,ENSMUSG00000035042,C-C motif chemokine ligand 5 [Source:MGI Symbol;Acc:MGI:98262]
