cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,AW112010,ENSMUSG00000075010,Upregulated,3.807,3.807,4.41e-92,lncRNA,19,expressed sequence AW112010
AEC,Infection response,WSN vs mock,Trim21,ENSMUSG00000030966,Upregulated,3.709,3.709,1.55e-91,protein_coding,7,tripartite motif-containing 21
AEC,Infection response,WSN vs mock,Gbp9,ENSMUSG00000029298,Upregulated,6.933,6.933,6.74e-91,protein_coding,5,guanylate-binding protein 9
AEC,Infection response,WSN vs mock,Gnb4,ENSMUSG00000027669,Upregulated,3.078,3.078,7.18e-91,protein_coding,3,"guanine nucleotide binding protein (G protein), beta 4"
AEC,Infection response,WSN vs mock,Rtp4,ENSMUSG00000033355,Upregulated,5.482,5.482,2.70e-90,protein_coding,16,receptor transporter protein 4
AEC,Infection response,WSN vs mock,Apol9a,ENSMUSG00000057346,Upregulated,4.019,4.019,5.83e-90,protein_coding,15,apolipoprotein L 9a
AEC,Infection response,WSN vs mock,Nfkbia,ENSMUSG00000021025,Upregulated,2.148,2.148,3.35e-89,protein_coding,12,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha"
AEC,Infection response,WSN vs mock,Nrg1,ENSMUSG00000062991,Downregulated,-2.824,2.824,3.81e-88,protein_coding,8,neuregulin 1
AEC,Infection response,WSN vs mock,Ifit1bl1,ENSMUSG00000079339,Upregulated,6.542,6.542,2.61e-86,protein_coding,19,interferon induced protein with tetratricpeptide repeats 1B like 1
AEC,Infection response,WSN vs mock,Rgs16,ENSMUSG00000026475,Upregulated,3.259,3.259,2.39e-85,protein_coding,1,regulator of G-protein signaling 16
AEC,Infection response,WSN vs mock,Card10,ENSMUSG00000033170,Downregulated,-3.404,3.404,2.76e-83,protein_coding,15,"caspase recruitment domain family, member 10"
AEC,Infection response,WSN vs mock,Wwc1,ENSMUSG00000018849,Downregulated,-2.099,2.099,2.23e-82,protein_coding,11,"WW, C2 and coiled-coil domain containing 1"
AEC,Infection response,WSN vs mock,Ifi203,ENSMUSG00000039997,Upregulated,7.291,7.291,5.22e-82,protein_coding,1,interferon activated gene 203
